"Date","Portfolio_Drawdown","NASDAQ_Drawdown"
"1970-10-30",-5.37,0
"1970-10-31",-0.7,-3.97
"1970-11-01",-8.08,-11.86
"1970-11-02",-11.08,-11.11
"1970-11-03",-4.64,-2.62
"1970-11-04",0,0
"1970-11-05",0,0
"1970-11-06",0,0
"1970-11-07",0,0
"1970-11-08",0,0
"1970-11-09",-3.5,-1.51
